################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         17   1.7781306597103651E-02   8.2054886039785402E-01   3.6390766836398264E-01   9.3192111747991455E-02
         1         18   1.5130298579536369E-01   2.1609011977472052E+00   9.0751827189825673E-01   1.9681849105242633E-01
         1         19   1.5149974333990195E-02   1.2317857815607025E+00   4.3901654353640684E-01   1.2457956444406931E-01
         1         20   8.0158555756919389E-04   3.8605857119530795E-01   1.5948155528789207E-01   8.9708723907607521E-02
         1         21   7.6519171890859911E-02   4.4884334128075171E-01   2.2614841914839848E-01   3.3913215262202340E-02
         1         22   6.8082906507439377E-04   3.8831766458865363E-01   9.3362929985892115E-02   8.0014466670230933E-02
         1         23   1.2525884620075692E-01   8.6185920271640859E-01   4.4554500850709045E-01   7.8645775839317963E-02
         1         24   2.3352591975503079E-01   1.6213304771742414E+00   7.7158908165536100E-01   1.4258867492845664E-01
         1         25   8.1661339795578818E-03   1.1834576904503304E+00   3.7914801596458841E-01   1.2060784241502699E-01
         1         26   9.5287663788736154E-02   2.0272642570333028E+00   9.6275286751752920E-01   1.6092226859193243E-01
         1         27   8.6682341044810892E-07   4.4085170814031585E-02   1.1722291128096847E-03   1.3362727926977327E-03
         1         28   1.5681240448024234E-06   2.6018377909280362E-02   2.2945709765854012E-03   1.5569992356329455E-03
         1         29   4.1730489190468074E-08   5.3126980410629640E-03   9.4943728949343028E-05   1.1960651471803419E-04
         1         30   5.1930227658382946E-08   1.6187184670446920E-02   1.7158404726947779E-04   3.1068081719410310E-04
         1         31   5.9059569518287124E-12   1.2287949121604648E-02   1.9645071451059308E-04   3.4999146592458203E-04
         1         32   2.2587327940521831E-08   1.5818268945603110E-02   2.0577048682150000E-04   3.4024805230060246E-04
         1         33   1.1129611160629747E-11   5.9661680555222110E-03   4.9646625121317434E-05   9.6180622195965530E-05
         1         34   1.6097094399072039E-10   1.3525989666111456E-02   9.3268629340500546E-05   1.9517775229739830E-04
         1         35   0.0000000000000000E+00   3.2392992828056593E-03   7.5346080827917354E-06   4.2884008940365048E-05
         1         36   2.3580638320932556E-11   6.1999879147489898E-03   6.3925349013516043E-04   7.3514394021519883E-04
