################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         29   1.1223453799032239E-05   2.1544016785971457E-02   2.3422710276306993E-03   1.8782011573515577E-03
         1         30   1.6133744592912165E-14   1.1215266377783778E-02   3.4318524929569387E-04   4.9484052680764728E-04
         1         31   2.2744360656359253E-06   1.4850986200432346E-02   7.8238185927403871E-04   9.0454073573483060E-04
         1         32   6.2853401421129854E-07   2.2181837828080250E-02   6.3942891993558858E-04   1.1093015633559104E-03
         1         33   2.8339458774465656E-10   6.3645300174036863E-03   2.2582410533886861E-04   2.5111626720270962E-04
         1         34   6.6484115935373383E-08   1.4881144053859426E-02   2.6095041853471196E-04   4.3238792061481648E-04
         1         35   5.5040726369549154E-08   1.3965186537132942E-02   2.4038170109142115E-04   5.0010039523433838E-04
         1         36   2.2587327940521867E-08   1.5818268945603085E-02   2.6311532994739771E-04   5.8066100223294951E-04
         1         37   1.1129611160629715E-11   5.9661680555222136E-03   6.2281970936924443E-05   1.5275972628590539E-04
         1         38   4.9072771098976178E-10   1.1983592589239053E-02   1.2125495443721218E-04   2.8697849977288005E-04
         1         39   1.0122749580746065E-06   6.3440563267489411E-02   2.7168730884025378E-03   4.4457745030923833E-03
         1         40   2.1106592553605175E-12   1.6351938829179218E-02   1.2230060103831206E-03   1.3136631575340933E-03
         1         41   3.5938613050424361E-06   1.8311443171805601E-02   1.9388598889403261E-03   1.7318648707772611E-03
         1         42   4.2144949968892247E-09   3.0496343852484944E-03   1.0324177856037151E-04   1.0478302548857774E-04
         1         43   1.0189945061646582E-09   7.1240776057946032E-03   5.7395318125882521E-04   3.7437621617696559E-04
         1         44   9.4453160912313079E-08   1.0861670873729638E-02   2.9898863544835580E-04   4.3876828759269632E-04
         1         45   1.6137322546411974E-09   3.0736166302636585E-03   9.5524178815471980E-05   1.1351254207952053E-04
         1         46   1.0067506870966815E-12   8.3802859539724647E-03   1.3345593257518324E-04   3.4153387014928079E-04
         1         47   0.0000000000000000E+00   1.8639736041855576E-03   6.9148142746385461E-06   4.3520314885162178E-05
         1         48   9.3953643758395569E-06   2.4091173244389752E-02   4.0283610380701896E-03   3.2181153109654471E-03
         1         49   3.5899589293116381E-07   5.4220603453557980E-03   2.1756140067966898E-04   2.3584640257456025E-04
         1         50   2.0945102247775283E-07   6.6485410571956735E-03   4.5015796564140204E-04   4.9660243574164986E-04
         1         51   0.0000000000000000E+00   8.7919181090863417E-04   3.8673496725011225E-06   2.1546047767279430E-05
         1         52   5.5258780637988346E-11   1.4169255344401691E-03   3.5550898686531330E-05   5.6414339288324438E-05
         1         53   5.0180465556297908E-19   3.9025357770110726E-03   2.6408404612501261E-05   6.7140432106261821E-05
         1         54   6.5532844024291163E-12   5.2666335066703651E-03   1.5943368583366623E-04   2.4337858184265285E-04
         1         55   6.4939741366400241E-09   6.8571880228942041E-03   8.6375223153652172E-05   2.5489038509906252E-04
         1         56   3.8752475717661571E-12   3.1685302545974279E-03   8.5832243221734569E-05   1.3805420097030179E-04
         1         57   7.6825199203831684E-10   9.5619932652477317E-04   1.2318766841411486E-05   2.8204499171102774E-05
         1         58   6.9754982635466692E-23   9.9237766277156746E-04   2.9240875595836578E-06   2.4235277598027353E-05
         1         59   1.9574492333679761E-14   1.6402904486914607E-03   5.9307520967583070E-06   2.5313557698210919E-05
         1         60   1.4095852787092327E-11   3.4476846016509004E-03   1.2796346096011221E-05   5.5907564702667208E-05
         1         61   4.3466767358892210E-10   4.6370495784141767E-03   9.2214920814707882E-04   4.8021293702856069E-04
         1         62   4.4043313773478198E-08   5.9679245603413726E-03   3.0018334080721197E-04   4.7979250043648570E-04
         1         63   0.0000000000000000E+00   2.1060529359953240E-03   7.1172563198120595E-07   1.9735996060992635E-05
         1         64   2.0946478751535802E-19   1.9917693804591143E-03   7.8595593351309315E-06   2.2876484867068515E-05
         1         65   4.4022512983796446E-11   4.2911083549899993E-03   3.6617113897438259E-05   1.4668015425372806E-04
         1         66   1.0092206288259463E-11   1.2457512025557441E-03   9.4504263031665949E-06   3.4391343380064722E-05
         1         67   4.4372124790481590E-13   2.3251877627147566E-03   2.5451443070639195E-04   1.7807371835948027E-04
         1         68   1.3316711167096128E-10   1.5210796164771732E-03   1.6390167289539549E-05   3.6021598404653005E-05
         1         69   1.6689466170028514E-11   2.0922774694549563E-03   1.1142922910295033E-05   5.2975263296764152E-05
         1         70   2.9545189658307220E-21   3.7756828901936134E-04   1.9199063037722130E-06   6.2181108774410020E-06
         1         71   5.7689105236206658E-25   6.8933962118555988E-04   2.7086374828189911E-06   1.7204803919618836E-05
         1         72   3.0195318769163134E-12   1.5178531935467076E-04   9.1239206733582692E-07   3.0115664972960922E-06
         1         73   7.4037367944986214E-13   2.0401848327644347E-03   3.8374365501900459E-06   2.7355703591216171E-05
         1         74   5.3613227335373066E-18   2.9394960144494935E-04   4.4157769776883680E-07   3.4290810335957729E-06
         1         75   4.2165418076755772E-14   7.1726611754589049E-04   9.3790354052323616E-07   8.8253070356418293E-06
         1         76   0.0000000000000000E+00   7.8065159036254074E-05   8.9337214556424516E-08   1.1492847184943907E-06
         1         77   1.0002838715411917E-16   6.1402623657578765E-04   5.5300316013183931E-06   1.3369390089975206E-05
         1         78   4.4024815453844413E-09   1.8160527420594814E-03   3.0756537424377402E-05   4.4099329207298004E-05
         1         79   2.4826441338327957E-11   7.2170004854406012E-03   1.3934909432389053E-04   5.3500014907217159E-04
         1         80   1.0713241412120206E-10   1.5865481427582713E-03   3.8296137301067136E-05   1.0274914498729737E-04
         1         81   9.5078894748461556E-15   3.9338052934127373E-05   2.2903984782168378E-07   7.8055628991576494E-07
         1         82   4.0354843340296222E-14   1.8733456387198043E-04   5.1509086950497560E-07   1.7067871454948093E-06
         1         83   4.9807048753299610E-14   3.7606944070867651E-04   6.5531080657051608E-06   1.4306327190264316E-05
         1         84   5.7705677807636593E-19   6.7956644101333104E-04   2.3382273898935624E-05   3.6745071446354409E-05
         1         85   1.2238467875439191E-33   7.8656300438778619E-05   1.5915871615763300E-08   4.0786609500995913E-07
         1         86   1.8309388159360931E-21   3.4504840953571991E-05   2.2916124373513908E-07   5.8214806396476954E-07
         1         87   5.2285917497862794E-18   5.3029625071759479E-05   7.3053278564989612E-08   7.0817234979140281E-07
         1         88   2.3016599227708221E-13   1.0940694022453553E-03   4.5158330578465132E-05   8.0761264516493068E-05
         1         89   2.8002144708292169E-16   2.7486526115899222E-03   2.0319055719323354E-05   1.0505020473791185E-04
         1         90   0.0000000000000000E+00   5.1436717118196138E-05   3.6282836534084210E-09   3.2411057446237440E-07
         1         91   2.2461703848730463E-21   3.2610701060795006E-06   4.5745283030991693E-09   4.2374295504095450E-08
         1         92   3.4292752736544940E-16   5.2205214866902349E-06   1.4029100134615687E-08   7.4670393870711187E-08
         1         93   1.5173318067814876E-16   1.2544524397501011E-04   8.5043400195797897E-08   1.0044086853937364E-06
         1         94   1.4969736710758921E-22   1.0300002399850947E-04   1.5793023402202089E-07   1.2526563717212891E-06
         1         95   5.3230542287680069E-18   2.0467726653732030E-04   1.3108444799368023E-07   1.9784933873135119E-06
         1         96   3.9128557985846043E-24   1.1888741226016902E-05   9.4164312350798628E-09   1.1874215946184716E-07
         1         97   9.1252253986425582E-20   3.4943346128291767E-05   1.3948992722203494E-08   3.3511667152688974E-07
         1         98   0.0000000000000000E+00   1.4254076045875798E-06   5.5387372177730642E-10   1.4436153123002881E-08
         1         99   1.6709440200224221E-23   4.3958266170472803E-05   5.1546377693724075E-08   2.8914574316306928E-07
         1        100   6.6717377250603111E-36   3.3659734482031399E-05   3.7473902019516497E-08   4.1751799829019501E-07
