################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.1799764249237392E-02 a       117     0     5     1    21
  1.8115370788716174E-02 a       118     0     5     1    22
  2.9156711564465571E-01 a       119     0     5     1    23
  4.2455420514926942E-02 a       120     0     5     1    24
 -1.0601788730027510E-01 a       121     0     6     1     1
 -1.1241717971202876E-01 a       122     0     6     1     2
 -1.2925528609667597E-01 a       123     0     6     1     3
  9.4858539956226798E-02 a       124     0     6     1     4
 -9.8745287765569248E-02 a       125     0     6     1     5
 -1.0840451305139821E-01 a       126     0     6     1     6
 -1.8644148489745957E-01 a       127     0     6     1     7
 -2.9727452772751552E-02 a       128     0     6     1     8
  1.4387241726551836E-01 a       129     0     6     1     9
 -6.8148608319170800E-02 a       130     0     6     1    10
 -6.0869572483452081E-02 a       131     0     6     1    11
 -8.3247966834546244E-02 a       132     0     6     1    12
  2.6212834705353346E-02 a       133     0     6     1    13
  1.4710382240091158E-01 a       134     0     6     1    14
  3.1595337339081049E-02 a       135     0     6     1    15
 -1.0492693472399419E-03 a       136     0     6     1    16
  2.0723702644188199E-01 a       137     0     6     1    17
  2.8682060027218740E-02 a       138     0     6     1    18
 -1.2027553048858039E-01 a       139     0     6     1    19
 -8.0543388730594412E-02 a       140     0     6     1    20
 -9.2077589624672176E-02 a       141     0     6     1    21
  7.1695227602439288E-03 a       142     0     6     1    22
 -5.0919838542297285E-02 a       143     0     6     1    23
  6.1019895750089696E-02 a       144     0     6     1    24
  4.6463869499251846E-02 a       145     0     7     1     1
 -3.0263839739821687E-02 a       146     0     7     1     2
  1.4305549102027533E-02 a       147     0     7     1     3
 -2.1930468817425539E-01 a       148     0     7     1     4
  1.0345040796081237E-01 a       149     0     7     1     5
 -3.2711568880744682E-02 a       150     0     7     1     6
 -2.4010560346918227E-02 a       151     0     7     1     7
  6.8464123281111802E-02 a       152     0     7     1     8
 -5.2729759584401917E-02 a       153     0     7     1     9
  5.7961430960355997E-02 a       154     0     7     1    10
  3.1095442388723388E-02 a       155     0     7     1    11
 -9.2648658317891180E-02 a       156     0     7     1    12
 -4.6736514051011037E-03 a       157     0     7     1    13
  7.8027781565349258E-02 a       158     0     7     1    14
 -1.1050260923383237E-01 a       159     0     7     1    15
 -2.2001388299517373E-02 a       160     0     7     1    16
  1.8836696999720007E-01 a       161     0     7     1    17
  1.1575884859404388E-02 a       162     0     7     1    18
 -2.4798676684742338E-02 a       163     0     7     1    19
 -2.6160587336554125E-01 a       164     0     7     1    20
 -6.1574054774081399E-02 a       165     0     7     1    21
 -9.5659239869256119E-02 a       166     0     7     1    22
  7.1211124369123219E-02 a       167     0     7     1    23
  1.2671485758634179E-01 a       168     0     7     1    24
 -1.3393914558807596E-01 a       169     0     8     1     1
  1.0100331176978197E-02 a       170     0     8     1     2
  2.0666711844356641E-02 a       171     0     8     1     3
 -2.6619002500430267E-01 a       172     0     8     1     4
  2.0901932369829085E-01 a       173     0     8     1     5
  2.9885041028064979E-01 a       174     0     8     1     6
 -1.1220498788861241E-01 a       175     0     8     1     7
 -2.7453178957620750E-01 a       176     0     8     1     8
  9.7741694066643597E-02 a       177     0     8     1     9
 -1.9808576604312000E-01 a       178     0     8     1    10
 -2.0346658250661642E-01 a       179     0     8     1    11
 -1.2255600062059832E-01 a       180     0     8     1    12
 -2.4524356122776614E-01 a       181     0     8     1    13
  7.1171921634248392E-03 a       182     0     8     1    14
  8.3167504600764011E-02 a       183     0     8     1    15
  9.5872490490752110E-02 a       184     0     8     1    16
 -1.5666746237640417E-01 a       185     0     8     1    17
 -1.1592267613629684E-01 a       186     0     8     1    18
 -1.0337708878263629E-01 a       187     0     8     1    19
  4.6236261803618200E-02 a       188     0     8     1    20
 -8.5076692241413676E-02 a       189     0     8     1    21
  2.9269611779998800E-01 a       190     0     8     1    22
 -1.0797278079813302E-01 a       191     0     8     1    23
  1.1904292156745146E-01 a       192     0     8     1    24
 -4.0971507060887515E-02 a       193     0     9     1     1
 -2.0695917947492697E-02 a       194     0     9     1     2
  8.7406027529535260E-02 a       195     0     9     1     3
  1.5731625924934753E-01 a       196     0     9     1     4
 -1.6816898175893835E-01 a       197     0     9     1     5
 -1.7524289725315456E-01 a       198     0     9     1     6
  9.2829272178448469E-02 a       199     0     9     1     7
 -1.1013270640300526E-01 a       200     0     9     1     8
 -8.0053282663041916E-02 a       201     0     9     1     9
 -2.4763150368778894E-02 a       202     0     9     1    10
  2.4377998364576124E-02 a       203     0     9     1    11
  1.9192169544548457E-01 a       204     0     9     1    12
  5.6226182444503843E-02 a       205     0     9     1    13
  6.6340006335365700E-02 a       206     0     9     1    14
  1.4034209576314821E-02 a       207     0     9     1    15
  8.6228132796638698E-02 a       208     0     9     1    16
 -1.6046245253997508E-02 a       209     0     9     1    17
 -1.6329769993296075E-01 a       210     0     9     1    18
  6.5005328886219932E-02 a       211     0     9     1    19
  1.0000019514506749E-01 a       212     0     9     1    20
 -1.8741064066986307E-02 a       213     0     9     1    21
 -3.2789938422950769E-02 a       214     0     9     1    22
  1.0244182739723730E-01 a       215     0     9     1    23
 -1.4995581762645085E-01 a       216     0     9     1    24
 -2.3180630446664652E-01 a       217     0    10     1     1
 -1.8518714071448536E-01 a       218     0    10     1     2
  7.5716828455404339E-02 a       219     0    10     1     3
 -1.1474419943115581E-01 a       220     0    10     1     4
 -3.0406938123397641E-02 a       221     0    10     1     5
  1.0516332923281312E-01 a       222     0    10     1     6
 -4.2667085119077894E-02 a       223     0    10     1     7
  6.0281452079720427E-03 a       224     0    10     1     8
  1.7621191421231511E-01 a       225     0    10     1     9
  4.3772014643845267E-02 a       226     0    10     1    10
 -2.3402711146633285E-02 a       227     0    10     1    11
 -6.3125749095326228E-02 a       228     0    10     1    12
  2.1733519336389576E-01 a       229     0    10     1    13
 -1.5407891475788490E-01 a       230     0    10     1    14
 -7.2315761182092264E-02 a       231     0    10     1    15
 -2.5853128109475133E-02 a       232     0    10     1    16
 -5.3560189207691863E-03 a       233     0    10     1    17
  8.8899249323776394E-02 a       234     0    10     1    18
 -2.1552592460072698E-04 a       235     0    10     1    19
  3.9242008900193748E-02 a       236     0    10     1    20
  3.4940447912382919E-02 a       237     0    10     1    21
 -6.7029435403237712E-03 a       238     0    10     1    22
 -1.4808337059016441E-01 a       239     0    10     1    23
 -4.5471087635085512E-02 a       240     0    10     1    24
 -9.0488356662550729E-02 a       241     0    11     1     1
  1.5632123391382685E-01 a       242     0    11     1     2
  3.9758744415599720E-02 a       243     0    11     1     3
 -6.7749133165722480E-03 a       244     0    11     1     4
 -6.2719883315890290E-02 a       245     0    11     1     5
 -3.5320319616021709E-02 a       246     0    11     1     6
 -6.2802426592763567E-03 a       247     0    11     1     7
 -1.1963609293201785E-01 a       248     0    11     1     8
 -7.8136867547631703E-02 a       249     0    11     1     9
  6.4605829588873578E-02 a       250     0    11     1    10
 -1.5613212483021371E-01 a       251     0    11     1    11
  1.6990772485096609E-01 a       252     0    11     1    12
 -5.0894807608140247E-02 a       253     0    11     1    13
  5.9098573873918862E-02 a       254     0    11     1    14
 -1.5605347933136229E-01 a       255     0    11     1    15
 -7.1869454157140147E-02 a       256     0    11     1    16
  1.8734328709839394E-02 a       257     0    11     1    17
 -4.3748809029489445E-02 a       258     0    11     1    18
  1.9827180919211172E-02 a       259     0    11     1    19
  7.7117101592726583E-02 a       260     0    11     1    20
 -5.6832326360575718E-02 a       261     0    11     1    21
 -3.7234709562330749E-02 a       262     0    11     1    22
  6.2775001845535375E-02 a       263     0    11     1    23
  5.1039907409799315E-02 a       264     0    11     1    24
  9.4523454821080877E-02 a       265     0    12     1     1
  1.2568629856210906E-01 a       266     0    12     1     2
 -1.9093362808136252E-01 a       267     0    12     1     3
  3.2964060247730867E-02 a       268     0    12     1     4
 -4.6899956823737831E-03 a       269     0    12     1     5
 -3.9556967785102884E-02 a       270     0    12     1     6
  9.2614855469263055E-02 a       271     0    12     1     7
 -1.2778703404727382E-02 a       272     0    12     1     8
 -1.9308333096554825E-01 a       273     0    12     1     9
  7.6423195621910953E-02 a       274     0    12     1    10
 -2.8360362004700566E-02 a       275     0    12     1    11
  1.1225648618391136E-01 a       276     0    12     1    12
 -9.5971993693721266E-02 a       277     0    12     1    13
  9.9555811878700301E-02 a       278     0    12     1    14
 -2.5804846124031128E-01 a       279     0    12     1    15
 -1.4014218758018731E-02 a       280     0    12     1    16
 -1.2518763317696138E-01 a       281     0    12     1    17
  1.0945703846722092E-01 a       282     0    12     1    18
 -6.3620133934912199E-02 a       283     0    12     1    19
  1.9799627811621068E-01 a       284     0    12     1    20
 -8.1422335146847963E-02 a       285     0    12     1    21
 -3.7422686434258104E-03 a       286     0    12     1    22
 -7.5415489731809948E-02 a       287     0    12     1    23
  1.4897916384023011E-01 a       288     0    12     1    24
 -9.0346592655438263E-02 a       289     0    13     1     1
 -1.6848473082695145E-01 a       290     0    13     1     2
  8.0605303375541393E-02 a       291     0    13     1     3
  2.7289199855493423E-01 a       292     0    13     1     4
 -9.9862032373945780E-02 a       293     0    13     1     5
 -5.1226458535269997E-02 a       294     0    13     1     6
 -8.7333790888296861E-03 a       295     0    13     1     7
  2.1018577470936473E-01 a       296     0    13     1     8
 -1.0540934598110516E-01 a       297     0    13     1     9
  2.0205768674978239E-02 a       298     0    13     1    10
  6.1173717747174519E-02 a       299     0    13     1    11
 -2.1429403582837177E-02 a       300     0    13     1    12
 -7.9218761929993942E-02 a       301     0    13     1    13
 -9.8089078670806018E-02 a       302     0    13     1    14
 -2.3708609282904644E-01 a       303     0    13     1    15
  6.7342211101899654E-02 a       304     0    13     1    16
  3.2163013656062339E-01 a       305     0    13     1    17
  9.5566458358116432E-02 a       306     0    13     1    18
 -3.7229647260204363E-02 a       307     0    13     1    19
  5.9241092350038049E-02 a       308     0    13     1    20
  7.3666790043295738E-02 a       309     0    13     1    21
 -2.0717818893566819E-01 a       310     0    13     1    22
  1.4757473869511384E-01 a       311     0    13     1    23
 -4.0633295617783637E-02 a       312     0    13     1    24
  2.3773593115195665E-02 a       313     0    14     1     1
 -4.8257240436207507E-02 a       314     0    14     1     2
  1.1459248160688010E-02 a       315     0    14     1     3
  5.6378342143474092E-02 a       316     0    14     1     4
  7.8722987785399184E-02 a       317     0    14     1     5
  7.9922306205826733E-03 a       318     0    14     1     6
 -1.9943964260124319E-02 a       319     0    14     1     7
 -1.2931126885884164E-02 a       320     0    14     1     8
  1.8637866482886588E-02 a       321     0    14     1     9
 -4.5915012186252102E-02 a       322     0    14     1    10
 -5.1717196524143388E-02 a       323     0    14     1    11
  6.5984048075343249E-02 a       324     0    14     1    12
  1.2467368730943020E-01 a       325     0    14     1    13
  2.6485782068534934E-02 a       326     0    14     1    14
 -4.0684198214827889E-02 a       327     0    14     1    15
 -1.0320843212244440E-02 a       328     0    14     1    16
 -2.1904439716145845E-02 a       329     0    14     1    17
 -1.4138232202237148E-02 a       330     0    14     1    18
  3.0004626889045288E-02 a       331     0    14     1    19
 -1.6185199516634226E-02 a       332     0    14     1    20
  1.6600958494016776E-01 a       333     0    14     1    21
  9.0536207884768849E-02 a       334     0    14     1    22
 -8.2439235751679787E-02 a       335     0    14     1    23
 -3.7659816884872264E-02 a       336     0    14     1    24
  5.5545586760091004E-01 a       337     0    15     1     1
 -1.3494633669183815E-02 a       338     0    15     1     2
 -1.0163283219999375E-01 a       339     0    15     1     3
  2.9461401045683976E-02 a       340     0    15     1     4
  2.0978877023370995E-01 a       341     0    15     1     5
  1.7371264995124751E-03 a       342     0    15     1     6
  1.1442840653014467E-01 a       343     0    15     1     7
  1.6294435639259436E-01 a       344     0    15     1     8
 -5.5795533501140041E-02 a       345     0    15     1     9
 -2.7626879183427603E-02 a       346     0    15     1    10
 -1.1809386931730916E-02 a       347     0    15     1    11
  9.5471135137659598E-03 a       348     0    15     1    12
 -2.4431688255825763E-02 a       349     0    15     1    13
 -4.0762272206142078E-02 a       350     0    15     1    14
  2.8313065120145319E-02 a       351     0    15     1    15
  1.7707583738443524E-02 a       352     0    15     1    16
 -6.3010588286833633E-02 a       353     0    15     1    17
  2.1503182443899085E-01 a       354     0    15     1    18
  7.0591571659873689E-02 a       355     0    15     1    19
  1.8356268466797970E-01 a       356     0    15     1    20
 -2.8914043514784233E-02 a       357     0    15     1    21
 -4.0652908491178245E-02 a       358     0    15     1    22
 -1.2059433128290573E-01 a       359     0    15     1    23
 -1.0767718578813826E-01 a       360     0    15     1    24
  2.2871399292121494E-02 a       361     0    16     1     1
 -7.1875886000026146E-02 a       362     0    16     1     2
 -2.7111583270712038E-02 a       363     0    16     1     3
  1.1520322469480386E-01 a       364     0    16     1     4
 -3.0313241286136453E-02 a       365     0    16     1     5
  5.6244990054576966E-03 a       366     0    16     1     6
 -2.3191431265193846E-01 a       367     0    16     1     7
 -1.3342339821992866E-01 a       368     0    16     1     8
 -1.2812257837191229E-01 a       369     0    16     1     9
  2.5287140554711851E-01 a       370     0    16     1    10
 -2.6591001285634738E-02 a       371     0    16     1    11
  1.1982510495184323E-01 a       372     0    16     1    12
  1.2645243901911693E-01 a       373     0    16     1    13
 -8.4860230917638960E-02 a       374     0    16     1    14
  1.6908391802829192E-01 a       375     0    16     1    15
 -2.7257271044229292E-01 a       376     0    16     1    16
 -1.0122894765740974E-01 a       377     0    16     1    17
  2.1969904764281636E-01 a       378     0    16     1    18
  6.0916209528927283E-02 a       379     0    16     1    19
 -1.0540435628898734E-01 a       380     0    16     1    20
  1.6796406592346400E-01 a       381     0    16     1    21
 -3.6578578038251777E-02 a       382     0    16     1    22
  4.4293347398944076E-02 a       383     0    16     1    23
 -9.9092274047001230E-02 a       384     0    16     1    24
  1.4106708612724544E-02 a       385     0    17     1     1
  6.5744229431353066E-02 a       386     0    17     1     2
 -6.6401358489553593E-03 a       387     0    17     1     3
 -1.3718841705677712E-01 a       388     0    17     1     4
 -2.1700138687042797E-03 a       389     0    17     1     5
 -5.8705273561326501E-02 a       390     0    17     1     6
  1.1599219261192896E-01 a       391     0    17     1     7
  1.5184191716395851E-01 a       392     0    17     1     8
  2.1500508147635471E-02 a       393     0    17     1     9
 -1.7925377087015157E-01 a       394     0    17     1    10
  1.1195966054289576E-01 a       395     0    17     1    11
  7.0066452352786038E-02 a       396     0    17     1    12
 -4.0093408650704432E-02 a       397     0    17     1    13
  1.2071811651580473E-01 a       398     0    17     1    14
 -9.3374680576705699E-02 a       399     0    17     1    15
  1.4630545502058365E-02 a       400     0    17     1    16
 -1.9097656970288862E-01 a       401     0    17     1    17
 -7.7239997785336564E-02 a       402     0    17     1    18
  5.3406380358347258E-02 a       403     0    17     1    19
 -6.0819853817724971E-02 a       404     0    17     1    20
  4.3913401507438547E-02 a       405     0    17     1    21
  3.6224653796389082E-02 a       406     0    17     1    22
 -3.9740950418609269E-02 a       407     0    17     1    23
  1.6130388583646588E-01 a       408     0    17     1    24
 -1.9157792145371486E-02 a       409     0    18     1     1
 -5.7603510058647660E-02 a       410     0    18     1     2
  1.7419270959025113E-01 a       411     0    18     1     3
 -1.4292351198464226E-02 a       412     0    18     1     4
  1.6576163133144711E-01 a       413     0    18     1     5
  7.7543089799114687E-02 a       414     0    18     1     6
  1.9202015573095541E-01 a       415     0    18     1     7
 -3.0281241885428148E-02 a       416     0    18     1     8
  7.3041703009441808E-02 a       417     0    18     1     9
  1.0819830594020199E-01 a       418     0    18     1    10
  9.3013379488463832E-02 a       419     0    18     1    11
 -8.6280058713249785E-02 a       420     0    18     1    12
  1.7289032726980208E-01 a       421     0    18     1    13
 -1.3830521892288930E-01 a       422     0    18     1    14
 -1.6920952535648059E-01 a       423     0    18     1    15
  1.6284319487115565E-02 a       424     0    18     1    16
  3.2097191765188479E-03 a       425     0    18     1    17
 -6.3700482249859205E-02 a       426     0    18     1    18
  4.5785235013851830E-02 a       427     0    18     1    19
  6.8573542245116664E-02 a       428     0    18     1    20
 -6.9283275338564224E-02 a       429     0    18     1    21
 -4.1971939559322810E-02 a       430     0    18     1    22
 -1.1855959640179702E-01 a       431     0    18     1    23
  2.3034457020016004E-03 a       432     0    18     1    24
  7.1941822369100683E-02 a       433     0    19     1     1
  6.5240401238573276E-02 a       434     0    19     1     2
 -2.0844025946004030E-01 a       435     0    19     1     3
 -2.8181549233216729E-01 a       436     0    19     1     4
  4.7512867407830499E-03 a       437     0    19     1     5
  6.4605661102181994E-02 a       438     0    19     1     6
 -3.2068114078866686E-02 a       439     0    19     1     7
 -9.6352095987869549E-02 a       440     0    19     1     8
  2.2883787117552792E-01 a       441     0    19     1     9
 -1.0550044170113157E-01 a       442     0    19     1    10
 -9.0325574326548946E-02 a       443     0    19     1    11
 -5.6812182879744370E-02 a       444     0    19     1    12
 -2.6437313918822578E-02 a       445     0    19     1    13
  1.1209926544589882E-03 a       446     0    19     1    14
 -8.0297822217015410E-02 a       447     0    19     1    15
  1.3680235597085516E-01 a       448     0    19     1    16
  7.2598466569544579E-02 a       449     0    19     1    17
 -4.9509999275482552E-02 a       450     0    19     1    18
  5.8238978579224686E-02 a       451     0    19     1    19
 -4.7168737841755251E-02 a       452     0    19     1    20
 -1.1056667153875631E-01 a       453     0    19     1    21
 -5.4288226740443313E-02 a       454     0    19     1    22
  1.1472721906625771E-01 a       455     0    19     1    23
  1.0968162249533336E-01 a       456     0    19     1    24
 -7.1146294560441428E-02 a       457     0    20     1     1
 -3.4508670703041151E-02 a       458     0    20     1     2
