,O1,O2,O3,O4,O5,O6,O7,O8,C1,C2,C3,C4,H1,H2,H3,H4,H5,H6,H7,H8,C5,C6,C7,C8,H9,H10,H11,H12
10,-67.90333939,72.2028345,155.38784142,62.42972826,-145.60423504,-279.08363521,-80.90052434,-6.5408498,126.15229179,135.31011654,150.2668944,150.91889507,28.24677025,28.55431296,26.01074937,28.06715422,30.69370852,27.8354741,27.07445758,29.50755731,-14.55304379,-24.18408994,-13.05773419,-19.42780906,20.36895342,16.6403994,20.3561805,16.10355846
11,17.94754048,132.80277085,88.85306401,96.32083221,-120.23744126,-68.26691984,-317.25321731,-115.55792364,76.58510209,144.44153732,130.43744219,112.89256144,23.59532625,26.372095,27.89782811,25.1369476,21.82678123,26.09940491,25.94096084,22.70383891,-14.87703005,-27.4582637,-20.00189437,-18.05058378,22.55664523,24.91361982,15.949781,17.06830809
12,56.31473236,23.3161404,101.36967712,30.69136904,-33.2379156,-49.59702217,-37.06131767,-171.52055657,141.57151751,114.01361101,129.84001685,118.31374602,29.43179122,23.7613544,26.75303738,23.34265658,27.79551896,29.31200635,29.53422782,27.84660384,-11.56093299,-26.44579275,-15.40166748,-22.26044523,14.17747078,9.66986195,18.37488363,11.0219383
13,92.16003385,115.02191509,-37.41622411,-8.3577795,-128.25244306,-91.46850825,-45.82373905,-12.67623554,75.33594122,141.98864309,134.84614681,111.62122755,18.80130138,29.87176129,26.98800538,28.27559076,25.73923057,30.307893,25.52420798,23.56827674,-29.81804093,-16.56344229,-14.20959964,-10.33413756,10.70232666,21.77018095,16.06831937,21.65691303
14,56.25646679,113.45454416,50.20157207,-78.82094803,-74.8010493,-35.03991331,-116.88445142,-60.81515424,119.1424686,126.54828185,127.91324318,129.53050681,26.03317285,23.57922496,26.67580033,28.24758205,27.19916116,27.67341539,27.0622993,26.99635656,-32.58510105,-16.51410749,-22.50962573,-20.52216005,9.3937393,20.11341572,12.22031565,9.87488428
15,-46.9983538,-26.78800668,57.08795958,90.43131323,-235.78121833,-125.75298208,-142.98647693,-248.94441651,99.60552633,136.81177827,77.57941774,108.34564831,24.12856455,28.63968917,21.46593068,25.26934183,25.19403033,29.92013626,23.84307041,25.99460017,4.86008219,-21.38912763,-11.63564786,-23.61082499,6.16059133,10.69011728,10.05745078,19.37992323
16,61.08838276,85.48992845,76.1460181,101.03432955,6.60937486,-36.54484745,53.44537993,0.74686722,160.64979656,74.75000616,144.86222777,159.47348193,27.12965166,21.0359922,28.90276547,26.67294592,29.0981635,22.24286828,29.91700039,26.1562095,-16.62853156,-21.04309266,-12.45734212,-17.51524052,16.7034877,28.18857048,27.26776897,17.39223895
17,46.3476733,27.17481986,14.37922614,53.23636414,-142.56963958,-79.16501609,-122.89928488,-29.05649332,138.42988073,150.43605061,133.15037366,125.48614472,26.81743104,28.15513472,27.52749686,29.08183807,28.65834994,28.97399917,26.98717384,27.87145224,-23.49162029,-24.42779967,-1.92634992,-7.2013417,16.71417242,16.01568304,16.10189763,19.27555545
18,131.82517943,142.13851262,34.88403096,65.21828176,-107.08969088,46.67844766,-228.30940269,-109.17218365,160.56953138,112.4921712,109.96159205,127.46300322,27.72826617,23.27973046,27.61135925,30.08101724,28.44612722,23.76496566,25.02783845,27.21459698,-9.2762796,-10.8171086,-14.04298289,15.99664506,20.49825811,23.13051177,13.84572261,26.5515009
19,-7.91642095,-107.69494961,72.02849428,63.68303775,-77.89672146,-198.91358036,16.33659748,-152.12544997,117.93345027,139.67218657,100.24524929,110.08609652,25.79842687,28.97418487,27.48673011,25.00400074,26.8008888,28.92194474,23.74613854,26.99698018,-2.58649143,-14.678638,-22.08183254,-11.16289001,13.85968326,6.93587717,12.56128372,12.16428767
