################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         13   3.2732474935142031E-01   2.1450206075094096E+00   9.2552478771806612E-01   1.3743198662870193E-01
         2         14   4.3249050083039080E-02   6.0085194884477233E-01   2.3221715395062159E-01   4.0000336691465972E-02
         2         15   8.7192589169148016E-02   5.2112727284756699E-01   2.4907766456772307E-01   3.2754483583103067E-02
         2         16   1.7418250359258081E-01   1.4903890927172112E+00   6.0185644651370851E-01   1.0639621227094948E-01
         2         17   1.0147431546980877E-01   1.0103448378737530E+00   4.7649636193350214E-01   7.3395716509505618E-02
         2         18   1.9909962776592256E-02   1.3726539149970640E+00   5.2764751364687013E-01   1.3128669964030448E-01
         2         19   7.8414386654857327E-01   3.6841144284064442E+00   1.5831015153457655E+00   2.2172894008080185E-01
         2         20   3.9836832897743446E-01   1.6737867987692372E+00   7.8913675438279074E-01   9.8805160981496401E-02
         2         21   3.0197403490627128E-01   1.1092564351295793E+00   5.4675918281916591E-01   6.5544906725394120E-02
         2         22   2.7765463580141092E-01   1.1038658113039121E+00   4.9203549896491100E-01   6.1648523419680579E-02
         2         23   6.6497232264075024E-01   3.2050196896249079E+00   1.4633703024846676E+00   1.8847064379007480E-01
         2         24   4.4434928280309988E-01   2.2125476002330142E+00   1.0943278450379053E+00   1.2535199040515543E-01
         2         25   4.6460682009370963E-01   2.1628723029726498E+00   9.9562829626641736E-01   1.1889265227499107E-01
         2         26   6.5248402126154448E-01   3.8837224003859681E+00   1.6975120104944517E+00   2.6351299828479063E-01
         2         27   3.6106067841038508E-01   3.8288631735656282E+00   1.5412782670562259E+00   2.7519821205031342E-01
         2         28   3.5037017827823901E-08   4.9513186873925912E-02   5.5789530009495601E-03   5.3267177725952854E-03
         2         29   9.1678409397575597E-07   1.1378275954249511E-02   2.5571762144525612E-03   2.0470946161646260E-03
         2         30   5.4207089460328753E-08   1.6588137637665114E-02   5.0065597570399488E-03   4.8074214810101702E-03
         2         31   3.1265399768241434E-06   1.7366232049589307E-02   1.2115412619292131E-03   6.9000583786001373E-04
         2         32   1.3673727608340447E-11   6.6161596892482313E-03   4.6500136261059540E-04   4.8666778561871622E-04
         2         33   2.1752000623220270E-07   6.3736360302635671E-03   1.7229518677925777E-03   1.6565962104580273E-03
         2         34   4.7389154016484227E-09   9.6801109199938212E-03   1.3793828920476787E-03   1.4173227636585480E-03
         2         35   7.9991793700823934E-06   4.5498991879273969E-02   1.2127369287063398E-02   2.3689120537299822E-03
         2         36   1.5565702883382214E-07   6.5963818168662883E-03   3.2189183940337763E-04   2.3131534529138869E-04
         2         37   1.2390307359918750E-10   1.4356711224038613E-02   1.4187189140432044E-03   1.5633485762666681E-03
         2         38   1.0833450162350720E-13   3.2564145588558843E-03   2.1970273133567310E-04   2.4101432089098791E-04
         2         39   3.2975347868581099E-08   5.2331022585777459E-03   9.3786346378831693E-04   9.4922741095916196E-04
         2         40   2.6558668351703507E-07   2.4298811795518155E-02   1.3515113321782967E-03   9.2075814335406195E-04
         2         41   6.5722635751978075E-10   1.2642220963399014E-02   1.3331292025715257E-03   4.4243330539265967E-04
         2         42   1.2118402733565782E-07   3.2964000027053122E-03   1.1531998849952247E-04   9.9283722704657964E-05
         2         43   1.8498855555574382E-06   3.5142433151322094E-02   9.4534524840157331E-03   2.6610243006558302E-03
         2         44   2.8376345539434408E-10   6.8203304591263215E-03   1.3525440295470688E-03   1.3414354364866318E-03
         2         45   8.3629183377749380E-08   6.8375687849428933E-03   2.0076630529811153E-04   1.5418193805693685E-04
         2         46   1.8280087185233845E-14   1.9600918101479086E-03   1.1765916943121542E-04   1.3034287915006111E-04
         2         47   4.3875704420528102E-08   1.8085444232788066E-02   6.8313834237196261E-04   5.3849801659110359E-04
         2         48   1.4949451806592971E-06   1.9910281799210137E-02   5.7016923629045419E-03   1.2524512271120886E-03
         2         49   5.9088235559214228E-06   2.5934044097545957E-02   3.0258916234653711E-03   2.8747614671833116E-03
         2         50   5.2887228972540176E-07   8.2967245109932201E-03   3.3322841755368702E-04   3.0915543746093085E-04
         2         51   7.5840727571941117E-09   2.1514542810237257E-03   4.6286644394556172E-04   4.0693262554627254E-04
         2         52   1.4407428481679196E-12   4.7946745633340622E-03   3.1392723436556795E-04   1.4928626836597839E-04
         2         53   9.1646786160392972E-08   3.5256952127440807E-03   7.0326398783339818E-04   4.4501027791499145E-04
         2         54   2.0292702281197121E-09   1.5886433621217153E-02   6.1754313792067360E-04   6.2898174488328670E-04
         2         55   2.8980195667480334E-13   6.2493924412366985E-03   4.5269171254782377E-04   5.2739419912327910E-04
         2         56   3.9582968501664454E-09   3.2484309016913614E-03   4.3112529315123867E-05   5.1770755657786643E-05
         2         57   2.1170174399896786E-10   1.3144097786551726E-03   1.7658799952163399E-04   1.8600115198689449E-04
         2         58   7.1562597588573126E-13   2.6123201058333130E-03   1.9020752489081277E-04   2.0825333822964916E-04
         2         59   1.2128039833901035E-09   1.0543850262953420E-02   2.0295618001661298E-04   2.1752730804145808E-04
         2         60   7.0923696862064529E-08   8.6087186334203175E-03   2.1978451293588551E-03   5.8645928331187548E-04
         2         61   3.5760768765880796E-08   2.8376123895536131E-03   4.5959500181904197E-04   4.7226920377720658E-04
         2         62   4.7193284496827618E-10   4.2438786016970383E-04   7.9780978235659003E-06   8.8686210440086327E-06
         2         63   3.7187808493748347E-17   3.1997067068170997E-04   1.0827904957332137E-05   1.1763378893284673E-05
         2         64   2.2952545792080995E-10   4.6563905817196177E-04   7.6622129396247053E-05   5.1883723326344761E-05
         2         65   1.3529726103635701E-14   3.9715694632699271E-03   3.0790546742601768E-04   3.5648686461541246E-04
         2         66   2.0339313280250742E-12   2.4549852211594138E-04   3.5324653685329020E-05   3.8021173086209435E-05
         2         67   1.9767230645629340E-10   3.0371454408818659E-03   4.5291657095832048E-04   1.6119404448389685E-04
         2         68   3.4214756145719714E-13   1.0482293743127793E-04   5.8900587661726629E-06   6.7002603801322886E-06
         2         69   1.0318524638473111E-16   2.2408277005442527E-03   1.2378573870582324E-04   1.5071144394956628E-04
         2         70   5.6358187552253093E-15   7.7180957753681756E-04   8.4195578855640791E-05   9.0126126629155902E-05
         2         71   1.0383905834938254E-11   7.6041494943526755E-04   2.6243676950298580E-06   9.1315597341536727E-06
         2         72   2.6307522564812413E-13   2.1352296891475337E-04   1.9715593837653130E-05   2.1666800288978460E-05
         2         73   1.7364801169044108E-10   2.4333806238474600E-03   3.5362077773975608E-04   1.3290358428561408E-04
         2         74   1.8272358444913569E-09   2.8138434160985214E-03   2.6119425449386025E-04   3.0229079717134850E-04
         2         75   1.3910772808388932E-16   4.1441095131192446E-04   1.7754403335346018E-05   1.0923962374707910E-05
         2         76   9.1219044313542760E-11   3.7961437075578926E-04   5.0503091800560007E-05   5.4150318104401098E-05
         2         77   7.4680190850964144E-19   1.0938689656549189E-03   4.5681662666308666E-05   6.4211767230994881E-05
         2         78   1.5664575967581742E-13   1.5935707828708637E-04   1.3212332777058515E-06   2.8133625420616859E-06
         2         79   7.7937394796602341E-25   1.2819240836833724E-05   8.6411117118770344E-08   1.7992872027885075E-07
         2         80   1.8202215449156293E-16   9.4930788971546265E-06   6.6244528761423066E-07   7.0828800590241055E-07
         2         81   1.5050142468254456E-15   5.1462568409748276E-04   1.6992512092802014E-05   1.0039427097752489E-05
         2         82   5.0794310105764103E-18   1.1236453719070656E-04   5.4970380577042659E-06   6.4106862288022960E-06
         2         83   4.1713125772154218E-14   9.8865384128717993E-05   1.7113913593104808E-07   1.1025272140200263E-06
         2         84   1.0940187056590390E-25   4.9707444255013785E-06   4.7918371159626570E-08   8.6425544410182676E-08
         2         85   8.7783425885491626E-18   6.7755322087198159E-06   4.6002164783066033E-07   5.5323987659655204E-07
         2         86   1.4432866199253545E-18   1.2538562488551982E-03   1.2589619689503724E-05   2.4539037750722270E-05
         2         87   7.8952345375305970E-24   2.6580426368440553E-05   1.7886652902445103E-07   3.4053504552577508E-07
         2         88   1.9479273107397131E-15   1.0088962111193504E-05   7.9312318789580089E-07   8.5001864238270683E-07
         2         89   1.1566101752235071E-19   3.1664919899915949E-06   1.3742385844853797E-07   1.7705059425994867E-07
         2         90   4.7941588024485640E-23   2.9461744451769381E-04   1.0899868398789852E-05   1.5057684957457213E-05
         2         91   3.8871447697301729E-16   4.5594718355915853E-05   3.0408642179699697E-08   4.5511348784415166E-07
         2         92   3.7537027341708615E-27   1.7006889750119989E-06   2.1774558462412157E-08   3.5091088903302823E-08
         2         93   4.4689444988664042E-19   5.6411049579988206E-06   2.5669287021215045E-07   3.1466899207661322E-07
         2         94   6.8354851029458966E-23   2.6588363571940099E-05   6.9889412974795887E-07   8.5893886457688322E-07
         2         95   7.9060932045903967E-19   7.0150847123118633E-04   2.4337390068871771E-06   7.1921615553014505E-06
         2         96   1.2284585362673243E-15   3.5462349319598610E-04   1.0254291953587490E-05   6.6241094657943464E-06
         2         97   5.9781293963628759E-14   3.5406633681672164E-04   1.3501533539718235E-05   1.9128921510711197E-05
         2         98   8.9895756132223551E-20   5.2256864186916289E-07   9.4998448784369045E-09   1.5035101801332513E-08
         2         99   3.1479219000073925E-03   3.2191849641489434E-01   7.0020983018731567E-02   3.9741236726858933E-02
