################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.3245004560960703E-02 a       117     0     5     1    21
  1.6478245480180806E-01 a       118     0     5     1    22
 -1.0534754855820788E-03 a       119     0     5     1    23
 -2.8031227377349860E-01 a       120     0     5     1    24
 -1.9768991613356329E-01 a       121     0     6     1     1
  1.7228311914928710E-01 a       122     0     6     1     2
 -1.5400150330825227E-01 a       123     0     6     1     3
 -2.4244729084887970E-01 a       124     0     6     1     4
  1.5821471624697345E-01 a       125     0     6     1     5
  5.1440329546834439E-02 a       126     0     6     1     6
  8.8198335826126614E-02 a       127     0     6     1     7
  1.5616189566772673E-01 a       128     0     6     1     8
 -3.0167024631112555E-01 a       129     0     6     1     9
  1.2154236419814912E-01 a       130     0     6     1    10
  2.7632697554739150E-01 a       131     0     6     1    11
  8.2345819601565735E-03 a       132     0     6     1    12
  1.2468484108608260E-01 a       133     0     6     1    13
  9.3301852218015638E-02 a       134     0     6     1    14
 -1.4799298656416973E-01 a       135     0     6     1    15
  3.1373502822465710E-01 a       136     0     6     1    16
  6.8411591793682044E-02 a       137     0     6     1    17
  5.8788255884840934E-02 a       138     0     6     1    18
 -7.6449531806731860E-03 a       139     0     6     1    19
  2.8681931587724616E-02 a       140     0     6     1    20
  5.6692727085782868E-01 a       141     0     6     1    21
  2.5921757615235519E-01 a       142     0     6     1    22
 -1.0970411683519983E-02 a       143     0     6     1    23
  2.9984912284433562E-01 a       144     0     6     1    24
 -9.0399942156186117E-02 a       145     0     7     1     1
  2.5919433118679830E-01 a       146     0     7     1     2
 -2.1442224082407768E-01 a       147     0     7     1     3
  3.9646409355622675E-01 a       148     0     7     1     4
 -4.7055870734192096E-02 a       149     0     7     1     5
 -7.8192170646534831E-02 a       150     0     7     1     6
  1.3925186026812153E-01 a       151     0     7     1     7
 -1.3859832779013567E-01 a       152     0     7     1     8
 -9.1751975786264803E-02 a       153     0     7     1     9
  1.3995379203904787E-01 a       154     0     7     1    10
 -8.4784480346487626E-03 a       155     0     7     1    11
  2.6434933790177340E-01 a       156     0     7     1    12
 -2.8527263658882207E-01 a       157     0     7     1    13
  3.6173388148784853E-02 a       158     0     7     1    14
 -5.7690771557212049E-02 a       159     0     7     1    15
  2.9314526963372090E-01 a       160     0     7     1    16
 -3.3394339588956136E-02 a       161     0     7     1    17
  1.4946251832169072E-01 a       162     0     7     1    18
  1.6470731853073434E-01 a       163     0     7     1    19
  1.3683521653990929E-01 a       164     0     7     1    20
  5.1301774523049209E-02 a       165     0     7     1    21
 -1.1722444567485715E-01 a       166     0     7     1    22
 -1.6895814034900400E-01 a       167     0     7     1    23
  1.2352631565715932E-01 a       168     0     7     1    24
 -1.8293485754528491E-01 a       169     0     8     1     1
 -4.3711322071856282E-02 a       170     0     8     1     2
  9.2376313755123382E-02 a       171     0     8     1     3
  8.4635772412865740E-03 a       172     0     8     1     4
  4.1342826837193625E-01 a       173     0     8     1     5
  1.7401548208940781E-02 a       174     0     8     1     6
 -9.8049370778160158E-02 a       175     0     8     1     7
  6.8215800680839767E-02 a       176     0     8     1     8
  3.8573501139910149E-02 a       177     0     8     1     9
  1.0435128625365434E-01 a       178     0     8     1    10
  7.6035937227583283E-02 a       179     0     8     1    11
 -1.3815678490050409E-01 a       180     0     8     1    12
 -2.1285239958702434E-01 a       181     0     8     1    13
  3.5344137682905946E-01 a       182     0     8     1    14
 -3.1947409836396316E-02 a       183     0     8     1    15
 -7.3144570763839095E-02 a       184     0     8     1    16
  3.0838758072163591E-01 a       185     0     8     1    17
  3.1420407888278401E-01 a       186     0     8     1    18
 -1.4076418907551971E-01 a       187     0     8     1    19
  4.7332095686742365E-01 a       188     0     8     1    20
  1.4302341631543652E-02 a       189     0     8     1    21
 -1.5463889655962439E-02 a       190     0     8     1    22
  2.0718341814559321E-02 a       191     0     8     1    23
 -3.1619730034407108E-02 a       192     0     8     1    24
 -2.1680829113802969E-01 a       193     0     9     1     1
 -3.0865819072333597E-02 a       194     0     9     1     2
 -1.1094712549135198E-01 a       195     0     9     1     3
 -1.8351519593106994E-01 a       196     0     9     1     4
  5.3774080349830666E-02 a       197     0     9     1     5
 -1.4567090404001698E-01 a       198     0     9     1     6
